Time		Tb_f1		Tb_f2		Q		W
250659.353516 17.6149098544 46.320987891 2.07518988822 0.00098632610647
250674.177735 17.7078564637 46.3333579573 2.06469086794 0.00267158506496
250689.017579 17.552271922 46.338736247 2.08479536042 -0.000309514348524
250703.841797 17.6724963406 46.2612888752 2.06214648593 0.00244477465818
250718.675782 17.4603356019 46.2365487426 2.08644180484 -0.00142205652194
250733.507812 17.5078191958 46.2058924913 2.07749396956 -0.000334336484136
250748.339843 17.5462101866 46.2048168333 2.07255957496 0.000399410458304
250763.18164 17.5734879958 46.1784632138 2.06657025488 0.00107816887982
250778.003906 17.565405682 46.2602132173 2.07552022551 0.000422332287015
250792.839844 17.5643953928 46.2392378875 2.07361164426 0.000532201924214
250807.662109 17.5371175835 46.2919451266 2.08215955312 -0.000308689591537
250822.482422 17.6098584082 46.2580619014 2.06971742345 0.00127771018977
250837.3125 17.5179220881 46.2241786763 2.07799742507 -0.000255447234009
250852.128906 17.5098397742 46.0725109066 2.06430118949 0.000523880168863
250866.96289 17.5856114666 46.1940602539 2.06655796605 0.00121193621953
250881.794922 17.4714487834 46.1413530148 2.07580752528 -0.00062628559066
250896.613282 17.5047883281 46.1537230812 2.0728136769 -7.09725728759e-05
250911.453125 17.5856114666 46.1435043307 2.06165317365 0.00152276468004
250926.285156 17.4926648573 46.1865306484 2.07752169132 -0.000502276587525
250941.113282 17.5583336574 46.0913349206 2.06002548104 0.00132670020473
250955.949219 17.5108500635 46.119839856 2.06876431765 0.000252120362262
250970.779297 17.5613645251 46.0924105785 2.05974843517 0.00137750180347
250985.611329 17.5118603527 46.1526474232 2.07181965245 6.9575843005e-05
251000.853515 17.5138809312 46.0891836047 2.06540969706 0.000497948980106
251016.90039 17.5643953928 46.1096211056 2.06103627257 0.00132913339656
251032.185547 17.5118603527 46.1074697897 2.06743740769 0.000347289206293
251048.419922 17.5260044019 45.9880717583 2.05408060931 0.00134885750688
251063.242188 17.5431793189 45.9891474162 2.05202401874 0.00166755538554
251078.066406 17.5573233681 46.0192658385 2.05316422167 0.001750433247
251092.902343 17.5037780388 46.0219549834 2.06016164341 0.000719738076226
251107.732422 17.5573233681 46.1219911719 2.0631259565 0.00111913421324
251122.5625 17.5987452266 46.0988645262 2.05567046736 0.00204598131153
251137.386719 17.6765374975 46.0058201143 2.0368568226 0.00409178755903
251152.226562 17.5199426665 46.0967132103 2.06537734551 0.00056647690382
251167.044922 17.621981879 46.0972510393 2.05258957892 0.00249615058706
251181.865235 17.539138162 45.9805421527 2.05169830049 0.00164387417544
251196.703125 17.5553027897 46.029484589 2.0544092153 0.00164937230058
251211.529297 17.4734693619 46.0337872207 2.06512144043 7.30725702648e-05
251226.357422 17.5249941127 46.0375520235 2.05900479325 0.00102572015842
251241.1875 17.4775105188 46.0924105785 2.07029789846 -0.000210660803635
251256.029297 17.5967246482 46.0359385366 2.04982262427 0.00239440679364
251270.832032 17.5381278727 46.0354007077 2.05714379728 0.00128769940164
251285.660156 17.4502327095 46.102629329 2.07471997115 -0.000789984879262
251300.496093 17.5694468389 46.0429303132 2.05393317479 0.00183468286361
251315.324219 17.4482121311 46.0585273534 2.07069714767 -0.000557202187278
251330.15625 17.4896339896 45.9724747181 2.05714416663 0.00075586057719
251344.986328 17.5138809312 46.1268316326 2.06906120657 0.000266544062787
251359.83789 17.4290166357 46.1155372243 2.07864021808 -0.00127102092462
251374.660156 17.5300455589 46.0402411684 2.0586300043 0.00110487187597
251389.498046 17.491654568 46.0058201143 2.06012246293 0.000589275724794
251404.322266 17.5320661373 46.0375520235 2.05811504733 0.00115966642296
251419.144532 17.5108500635 46.0827296571 2.06516508108 0.000480212618406
251433.958984 17.4179034541 46.0337872207 2.07210999989 -0.000979015911716
251448.771485 17.482561965 46.1499582784 2.0752444111 -0.00046874318869
251463.601562 17.4674076265 46.0854188019 2.0708906014 -0.000358998450992
251478.427734 17.5310558481 46.1343612382 2.067630823 0.000545548623849
251493.238282 17.5583336574 46.1623283447 2.06691176603 0.000890299804685
251508.078125 17.4633664695 46.2274056501 2.08517329776 -0.00130843659425
251522.902343 17.5209529558 46.2144977548 2.07667669057 -0.000138509922585
251537.742188 17.5098397742 46.1833036745 2.07504801956 -0.000157172234064
251552.566406 17.4482121311 46.3866030254 2.10253380589 -0.00257476759474
251567.402344 17.5684365497 46.2101951231 2.07028478762 0.000787360018138
251582.224609 17.5512616327 46.1763118979 2.06915825283 0.000670365516277
251597.048829 17.5664159712 46.139201699 2.06365127643 0.00118557784329
251612.328125 17.6280436144 46.2607510463 2.06768968205 0.0016057271313
251628.544922 17.4896339896 46.2101951231 2.08019911929 -0.000705187081515
251643.373046 17.4280063464 46.155874397 2.08268009176 -0.00153811314077
251658.207032 17.5148912204 46.2075059782 2.07676084693 -0.000210321108289
251673.027343 17.495695725 46.283877692 2.08658757286 -0.00104356738839
251687.863282 17.5270146912 46.2322461108 2.07763638193 -0.000132848269967
251702.691406 17.5623748143 46.2585997304 2.07574499921 0.000374842766659
251717.52539 17.6058172513 46.2935586135 2.07367145456 0.00098279924447
251732.349609 17.552271922 46.266129336 2.07774701807 0.000137156015133
251747.189453 17.5583336574 46.2994747321 2.08022102882 4.68598929311e-05
251762.013672 17.5835908882 46.266129336 2.07380609748 0.000730439536395
251776.849609 17.4623561803 46.2725832836 2.0896849744 -0.00160542960737
251791.675782 17.5239838235 46.2247165053 2.07728700035 -0.000143947119664
251806.509766 17.5007471711 46.2435405192 2.08203705135 -0.00069979593268
251821.339843 17.565405682 46.101553671 2.0601266898 0.00139785757374
251836.617188 17.591673202 46.0300224179 2.04988470737 0.00233505730829
251853.214844 17.5694468389 46.1160750532 2.06102662941 0.0013851536272
251869.410157 17.425985768 46.1273694616 2.08016907116 -0.00140113506731
251884.214844 17.552271922 46.0719730776 2.0589105043 0.00133087108118
251900.052735 17.6179407221 46.0972510393 2.05309819001 0.00241958203638
251915.886719 17.5270146912 46.1687822923 2.07147842558 0.000257396196689
251930.695312 17.5825805989 46.1639418316 2.06401723205 0.00133970088525
251945.53125 17.5643953928 46.1623283447 2.06614902712 0.00100512587535
251960.365235 17.5623748143 46.1112345925 2.06144701588 0.001280940271
251975.195312 17.5674262605 46.1149993953 2.0611765505 0.00135348898647
251990.03125 17.4482121311 46.1117724215 2.07586089611 -0.000884441313281
252004.871093 17.5532822112 46.0397033394 2.05565425227 0.00154830878532
252019.697266 17.5098397742 46.0461572871 2.06174569064 0.00068582826161
252034.546875 17.565405682 46.0343250497 2.05360730851 0.00181100640599
252049.378906 17.5027677496 45.9622559677 2.05450149437 0.00106735627856
252064.214843 17.4876134111 45.9724747181 2.05739833943 0.000717596285706
252079.044922 17.5502513435 45.9999039956 2.05217696626 0.0017354292723
252093.875 17.5603542358 46.0133497199 2.05220928328 0.00184419438815
252109.410156 17.4593253126 45.9703234022 2.0607480144 0.000195143509528
252125.384766 17.5563130789 46.0278711021 2.05412565735 0.00167842338299
252140.222656 17.5179220881 45.956877678 2.05207373659 0.00138739909567
252155.044922 17.3916359341 46.0219549834 2.07426594047 -0.00140358484428
252172.013672 17.4461915526 46.0090470881 2.06615374865 -0.00029142919624
252186.845703 17.4562944449 45.974088205 2.06149415563 0.00011462769282
252201.660156 17.4209343218 45.9773151788 2.06625409669 -0.000574687289345
252216.496094 17.4573047342 45.9832312975 2.06225336637 7.75916613652e-05
252231.326172 17.495695725 45.9342888612 2.05268052845 0.00110520335827
252246.158203 17.5017574604 45.9305240584 2.0515531158 0.00124312312557
252260.988282 17.5492410543 45.9972148507 2.05204338938 0.0017328132917
